1,0
2,2
3,3
4,0
5,8
6,2
7,0
8,8
9,5
10,1
11,9
12,8
13,3
14,8
15,6
16,6
17,0
18,0
19,4
20,3
21,6
22,5
23,2
24,4
25,2
26,5
27,2
28,7
29,6
30,8
31,2
32,1
33,2
34,7
35,4
36,0
37,9
38,8
39,4
40,2
41,9
42,4
43,1
44,4
45,7
46,7
47,0
48,1
49,0
50,7
51,5
52,6
53,7
54,4
55,6
56,8
57,8
58,5
59,5
60,9
61,3
62,7
63,9
64,0
65,4
66,1
67,6
68,4
69,3
70,7
71,6
72,7
73,3
74,1
75,7
76,8
77,7
78,2
79,6
80,0
81,5
82,6
83,4
84,9
85,7
86,3
87,3
88,5
89,9
90,5
91,5
92,0
93,7
94,7
95,6
96,6
97,1
98,1
99,2
100,8
101,3
102,0
103,0
104,5
105,1
106,8
107,5
108,9
109,9
110,2
111,5
112,9
113,8
114,0
115,6
116,4
117,5
118,4
119,4
120,9
121,6
122,9
123,6
124,7
125,3
126,0
127,2
128,6
129,8
130,5
131,7
132,2
133,9
134,6
135,4
136,5
137,9
138,0
139,4
140,2
141,5
142,7
143,0
144,6
145,3
146,1
147,6
148,8
149,4
150,8
151,9
152,8
153,2
154,5
155,8
156,1
157,9
158,2
159,3
160,4
161,7
162,8
163,5
164,3
165,6
166,1
167,6
168,2
169,3
170,8
171,9
172,9
173,8
174,4
175,4
176,4
177,9
178,1
179,3
180,5
181,5
182,4
183,9
184,8
185,0
186,3
187,8
188,1
189,4
190,5
191,9
192,4
193,6
194,5
195,9
196,3
197,0
198,9
199,4
200,0
201,6
202,0
203,7
204,8
205,0
206,8
207,2
208,1
209,4
210,1
211,8
212,9
213,0
214,7
215,0
216,0
217,8
218,9
219,1
220,8
221,2
222,2
223,7
224,3
225,5
226,7
227,4
228,3
229,0
230,0
231,5
232,8
233,6
234,5
235,8
236,0
237,4
238,9
239,9
240,1
241,9
242,3
243,9
244,4
245,7
246,0
247,9
248,8
249,4
250,9
251,0
252,9
253,5
254,0
255,4
256,5
257,0
258,8
259,5
260,4
261,7
262,0
263,6
264,8
265,1
266,5
267,5
268,9
269,9
270,0
271,1
272,2
273,0
274,1
275,6
276,5
277,5
278,1
279,3
280,5
281,2
282,6
283,2
284,8
285,7
286,2
287,3
288,3
289,9
290,3
291,2
292,6
293,7
294,6
295,4
296,9
297,9
298,0
299,5
300,0
301,8
302,0
303,5
304,6
305,0
306,3
307,8
308,3
309,9
310,6
311,4
312,0
313,1
314,1
315,1
316,3
317,1
318,8
319,8
320,9
321,3
322,9
323,8
324,6
325,1
326,3
327,0
328,4
329,0
330,2
331,7
332,6
333,5
334,2
335,5
336,2
337,9
338,6
339,3
340,5
341,2
342,5
343,0
344,1
345,8
346,7
347,3
348,5
349,1
350,9
351,0
352,3
353,5
354,9
355,3
356,6
357,8
358,0
359,9
360,2
361,5
362,9
363,6
364,6
365,9
366,0
367,6
368,0
1,3
2,9
3,4
4,9
5,4
6,8
7,5
8,6
9,5
10,7
11,4
12,0
13,0
14,6
15,9
16,7
17,9
18,5
19,5
20,6
21,6
22,5
23,3
24,5
25,1
26,8
